,count,mean,std,min,25%,50%,75%,max
total,884.0,1430.0746606334842,810.4097638598972,148.0,854.0,1247.5,1834.0,6442.0
0_4,884.0,130.94230769230768,76.85187512912952,9.0,76.0,114.0,168.0,564.0
5_9,884.0,131.10294117647058,76.95229238156561,7.0,75.0,113.5,174.0,509.0
10_14,884.0,121.49886877828054,73.26087826466184,9.0,68.75,105.0,159.25,561.0
15_19,884.0,118.3133484162896,70.9873116642297,8.0,69.75,103.0,153.25,628.0
20_24,884.0,103.96945701357465,71.86854250150294,10.0,58.0,88.0,130.25,757.0
25_29,884.0,109.32692307692308,69.20572282412073,10.0,62.0,93.0,140.0,606.0
30_34,884.0,111.78280542986425,71.08304921155523,10.0,63.0,94.0,142.25,591.0
35_39,884.0,97.31447963800905,57.04791825269007,10.0,56.75,86.0,123.0,393.0
40_44,884.0,96.19796380090497,54.53333740255981,2.0,56.0,85.0,124.0,394.0
45_49,884.0,94.35067873303167,51.89054699110396,8.0,58.0,84.0,120.0,410.0
50_54,884.0,88.29638009049773,49.42837856427183,12.0,53.0,77.5,114.0,345.0
55_59,884.0,72.16515837104072,42.83508747511715,6.0,44.0,62.0,93.0,359.0
60_64,884.0,56.994343891402714,34.146061783990895,4.0,32.0,50.0,72.0,285.0
65_69,884.0,39.65384615384615,24.267760700689053,3.0,22.0,34.0,50.25,155.0
70_74,884.0,25.65610859728507,16.058551452748166,1.0,14.0,22.0,33.25,99.0
75_79,884.0,17.596153846153847,10.712278859919607,1.0,10.0,15.0,23.0,65.0
80_84,884.0,8.71945701357466,6.225147675195466,0.0,4.0,7.0,12.0,42.0
85_89,884.0,3.752262443438914,3.1649169487229583,0.0,1.75,3.0,5.0,26.0
90_94,884.0,1.2861990950226245,1.4531535703202973,0.0,0.0,1.0,2.0,10.0
95_plus,884.0,1.1549773755656108,1.5435424610440358,0.0,0.0,1.0,2.0,12.0
pop_name_count,884.0,1.0972850678733033,0.3772005786251804,1.0,1.0,1.0,1.0,4.0
bnd_name_count,815.0,1.0061349693251533,0.092530127594988,1.0,1.0,1.0,1.0,3.0
children,884.0,383.54411764705884,223.06980883634355,25.0,223.75,335.0,497.25,1613.0
working,884.0,891.7171945701358,513.3556705694639,97.0,533.75,782.5,1124.25,4207.0
elderly,884.0,154.81334841628959,88.91995842450643,14.0,89.0,136.0,194.25,622.0
p_children,884.0,26.644391494088392,2.5739216216916225,16.89189189189189,25.13032309347132,26.49571351237889,28.043403813180255,38.78562577447336
p_working,884.0,62.27793975032706,2.9505445321228523,51.75521821631879,60.47624827759833,62.30970553887221,64.3396675330982,74.09766454352442
p_elderly_60plus,884.0,11.077668755584545,2.6215592089871933,4.019488428745433,9.16895006298326,10.952370430211118,12.829631986780107,21.21896162528217
dependency_ratio,884.0,60.93508906828659,7.725559326507457,34.95702005730659,55.425111868099066,60.48864187399754,65.35417823559426,93.21723189734189
preschool,884.0,130.94230769230768,76.85187512912952,9.0,76.0,114.0,168.0,564.0
primary,884.0,131.10294117647058,76.95229238156561,7.0,75.0,113.5,174.0,509.0
junior_secondary,884.0,121.49886877828054,73.26087826466184,9.0,68.75,105.0,159.25,561.0
senior_secondary_plus,884.0,118.3133484162896,70.9873116642297,8.0,69.75,103.0,153.25,628.0
total_school_age,884.0,501.8574660633484,290.7818414573341,33.0,291.0,436.5,648.25,2241.0
working_age_15_59,884.0,891.7171945701358,513.3556705694639,97.0,533.75,782.5,1124.25,4207.0
p_preschool,884.0,9.135074345511505,1.3397598683973166,5.692599620493358,8.156419697219023,9.187668949750396,10.034493900622317,13.271604938271606
p_primary,884.0,9.10052687883354,1.2001745678888125,4.696132596685083,8.400817381766903,9.079523567534334,9.816416631479596,13.167259786476867
p_junior_sec,884.0,8.40879026974335,1.309655456735715,3.9451114922813035,7.598544183548313,8.303356926275292,9.118879449438571,18.40607210626186
p_senior_plus,884.0,8.22266401700305,1.2689020837685054,3.260869565217391,7.4324324324324325,8.190807602879108,8.962984044437,14.614401363442692
p_school_age,884.0,34.86705551109144,2.738069123119433,22.2972972972973,33.26996569401199,34.8845289849217,36.42496824532753,48.88475836431227
education_dependency_ratio,884.0,56.18512824151058,5.963701946032683,34.02061855670103,52.46575958282135,55.833333333333336,59.323614975967615,93.67552703941338
elderly_65plus,884.0,97.81900452488688,56.8916938162503,10.0,55.0,86.0,125.0,376.0
p_elderly,884.0,7.045785145738538,2.02267943895516,2.2253129346314324,5.563327058965456,6.969526644669505,8.404316633404445,16.478555304740404
Edu_Count,884.0,0.083710407239819,0.3395510823994099,0.0,0.0,0.0,0.0,4.0
Health_Count,884.0,0.09728506787330317,0.6091353285018861,0.0,0.0,0.0,0.0,6.0
