area_name,gn_number,total,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_plus,district,gn_name_pop,name_norm,Name,gn_name_boundary,pop_name_count,bnd_name_count,match_status,final_boundary_name,children,working,elderly,p_children,p_working,p_elderly_60plus,dependency_ratio,preschool,primary,junior_secondary,senior_secondary_plus,total_school_age,working_age_15_59,p_preschool,p_primary,p_junior_sec,p_senior_plus,p_school_age,education_dependency_ratio,elderly_65plus,p_elderly,Edu_Count,Health_Count,name_key,n_polygons,dist_hospital_km,dist_school_km,dist_hospital_max,dist_school_max,cluster_kmeans,priority_education,priority_health,priority_dual
Rotalawela,1M,1878,183,174,168,167,161,162,162,146,128,106,96,75,63,42,22,11,7,3,0,2,Badulla,Rotalawela,rotalawela,Rotalawela,Rotalawela,1,1.0,AUTO_MATCH_OK,,525,1203,150,27.95527156549521,64.05750798722045,7.987220447284344,56.10972568578554,183,174,168,167,692,1203,9.744408945686901,9.26517571884984,8.945686900958465,8.892438764643238,36.84771033013845,57.522859517871986,87,4.63258785942492,0.0,0.0,rotalawela,1.0,7.46794948256883,23.688867401063387,7.46794948256883,23.688867401063387,1,True,False,True
Divulapelessa,1C,2167,222,211,178,156,141,211,220,165,134,117,132,113,69,48,23,15,6,3,0,3,Badulla,Divulapelessa,divulapelessa,Divulapelessa,Divulapelessa,1,1.0,AUTO_MATCH_OK,,611,1389,167,28.195662205814493,64.09783110290725,7.706506691278264,56.011519078473725,222,211,178,156,767,1389,10.244577757268113,9.736963544070143,8.214120904476234,7.198892478080296,35.39455468389478,55.21958243340532,98,4.522381172127365,0.0,0.0,divulapelessa,1.0,7.432774045476735,21.92731698833192,7.432774045476735,21.92731698833192,0,False,False,False
Aluyatawela,1I,1900,178,190,146,128,135,168,189,127,120,125,128,97,63,39,33,19,6,5,1,3,Badulla,Aluyatawela,aluyatawela,Aluyatawela,Aluyatawela,1,1.0,AUTO_MATCH_OK,,514,1217,169,27.052631578947366,64.05263157894737,8.894736842105264,56.1216105176664,178,190,146,128,642,1217,9.368421052631579,10.0,7.684210526315789,6.7368421052631575,33.78947368421053,52.75267050123254,106,5.578947368421053,0.0,0.0,aluyatawela,1.0,3.7340627805235,20.784076707726392,3.7340627805235,20.784076707726392,0,False,False,False
Theldeniyaya,1L,2014,197,208,174,154,166,177,138,134,131,148,133,84,78,46,26,9,7,3,1,0,Badulla,Theldeniyaya,theldeniyaya,Theldeniyaya,Theldeniyaya,1,1.0,AUTO_MATCH_OK,,579,1265,170,28.74875868917577,62.8103277060576,8.440913604766633,59.209486166007906,197,208,174,154,733,1265,9.781529294935453,10.327706057596822,8.639523336643496,7.646474677259185,36.39523336643495,57.944664031620555,92,4.568023833167826,0.0,0.0,theldeniyaya,1.0,4.460993003594589,17.676640754620326,4.460993003594589,17.676640754620326,0,False,False,False
Hebarawa,1A,1581,132,130,154,128,112,136,116,117,113,111,100,88,61,38,27,9,5,2,1,1,Badulla,Hebarawa,hebarawa,Hebarawa,Hebarawa,1,1.0,AUTO_MATCH_OK,,416,1021,144,26.31246046805819,64.57938013915243,9.108159392789373,54.84818805093046,132,130,154,128,544,1021,8.349146110056926,8.222643896268185,9.740670461733082,8.096141682479443,34.40860215053764,53.28109696376102,83,5.249841872232764,0.0,0.0,hebarawa,1.0,1.635648353483118,18.585351907349978,1.635648353483118,18.585351907349978,1,False,False,False
Ginnoruwa,1J,1364,141,102,98,95,84,120,139,99,84,69,72,97,67,44,30,18,3,0,1,1,Badulla,Ginnoruwa,ginnoruwa,Ginnoruwa,Ginnoruwa,1,1.0,AUTO_MATCH_OK,,341,859,164,25.0,62.976539589442815,12.023460410557185,58.78928987194412,141,102,98,95,436,859,10.337243401759531,7.47800586510264,7.184750733137831,6.964809384164222,31.964809384164223,50.756693830034926,97,7.111436950146628,0.0,0.0,ginnoruwa,1.0,2.1444101388693886,16.514523758363257,2.1444101388693886,16.514523758363257,1,False,False,False
Belaganwewa,1G,1879,197,172,104,151,154,206,169,100,99,104,135,107,88,42,19,15,10,2,1,4,Badulla,Belaganwewa,belaganwewa,Belaganwewa,Belaganwewa,1,1.0,AUTO_MATCH_OK,,473,1225,181,25.172964342735497,65.1942522618414,9.632783395423097,53.38775510204081,197,172,104,151,624,1225,10.484300159659393,9.153805215540181,5.534858967535923,8.036189462480042,33.20915380521554,50.93877551020408,93,4.94944119212347,0.0,0.0,belaganwewa,1.0,3.858567016885736,15.073137663260072,3.858567016885736,15.073137663260072,1,False,False,False
Ulhitiya,1R,1832,166,180,130,142,158,185,181,116,100,101,129,87,68,49,15,14,7,2,0,2,Badulla,Ulhitiya,ulhitiya,Ulhitiya,Ulhitiya,1,1.0,AUTO_MATCH_OK,,476,1199,157,25.982532751091703,65.4475982532751,8.569868995633188,52.79399499582986,166,180,130,142,618,1199,9.06113537117904,9.82532751091703,7.096069868995633,7.751091703056769,33.73362445414847,51.54295246038365,89,4.858078602620088,0.0,0.0,ulhitiya,1.0,5.350666841058838,14.88037559652309,5.350666841058838,14.88037559652309,1,False,False,False
Pahala Rathkinda,1D,2502,257,247,243,216,184,249,220,178,183,114,126,113,72,47,19,18,7,6,0,3,Badulla,Pahala Rathkinda,pahala rathkinda,Pahala Rathkinda,Pahala Rathkinda,1,1.0,AUTO_MATCH_OK,,747,1583,172,29.856115107913666,63.269384492406076,6.874500399680255,58.05432722678459,257,247,243,216,963,1583,10.271782573940849,9.872102318145485,9.712230215827338,8.633093525179856,38.489208633093526,60.83385975994946,100,3.996802557953637,0.0,0.0,pahalarathkinda,1.0,4.280069296448644,10.8821843747324,4.280069296448644,10.8821843747324,0,True,False,True
Hobariyawa,1N,2395,212,204,208,214,172,222,204,169,149,136,139,104,107,76,37,20,9,6,3,4,Badulla,Hobariyawa,hobariyawa,Hobariyawa,Hobariyawa,1,1.0,AUTO_MATCH_OK,,624,1509,262,26.05427974947808,63.0062630480167,10.939457202505219,58.714380384360496,212,204,208,214,838,1509,8.851774530271399,8.517745302713987,8.684759916492693,8.935281837160751,34.98956158663883,55.53346587143804,155,6.471816283924843,0.0,0.0,hobariyawa,1.0,2.67261926975827,12.28948820858532,2.67261926975827,12.28948820858532,1,False,False,False
