Name,Edu_Count,Health_Count
Abhayapura,0,0
Aggalaulpatha,0,0
Aiwela,0,0
Akkara Seeya,0,0
Akurukaduwa,0,0
Alagolla,0,0
Alakolagala1,0,0
Alakolagala2,0,0
Alana,0,0
Alawathugoda,0,0
Aliyawatta,0,0
Alpitiya,0,0
Alugalge,0,0
Alugolla,0,0
Aluketiyawa,0,0
Alupotha,0,0
Aluthwela,0,0
Aluthwewa,0,0
Aluttarama,0,0
Aluyatawela,0,0
Ambadandegama,0,0
Ambagahakumbura,0,0
Ambagahapitiya,0,0
Ambagasdowa1,0,0
Ambagasdowa2,0,0
Ambagolla,0,0
Ambathenna,0,0
Ambathenna West,0,0
Ambegoda,0,0
Ambelanda,0,0
Ambewela,0,0
Amilagama,0,0
Ampitithenna,0,0
Amunekandura,0,0
Anapallama,0,0
Andaulpatha,0,0
Andawelayaya,0,0
Andeniya,0,0
Angoda,0,0
Ankada,0,0
Anthuduwawela,0,0
Aralupitiya,0,0
Aratugaswela,0,0
Arawa,0,0
Arawakumbura,0,0
Arawatta,0,0
Athala,0,0
Attanagolla,0,0
Badalkumbura,0,0
Badulla Central,0,0
Badulla East,0,0
Badulla North,1,0
Badulla South,0,0
Badulla West,0,0
Badullagammana,0,0
Baduluoya East,0,0
Baduluoya West,0,0
Badulupitiya,1,0
Baduluwela,0,0
Bahirawa,0,0
Bakinigahawela,0,0
Balagala,0,0
Balagolla,0,0
Balaharuwa,0,0
Ballaketuwa,0,0
Bambara Pokuna,0,0
Bambaragama,0,1
Bambarapana,0,0
Bandarawadiya,0,0
Bandarawela East,1,0
Bandarawela West,4,0
Barawaya,0,0
Batawatta,0,0
Bathalayaya,0,0
Batugammana,0,0
Beddearawa,0,0
Beddegama,1,0
Beddekumbura,0,0
Beddewela,0,0
Belaganwewa,0,0
Beligalla,1,0
Bendiyawa,0,0
Beragala,0,0
Beraliyapola,0,0
Beramada,0,0
Bibila,0,0
Bibilamulla,0,0
Bibilegama East,0,0
Bibilegama West,0,0
Bibiligamuwa,1,0
Bindunuwewa,0,0
Bingethenna,0,0
Bodagama,0,0
Bogahakumbura1,0,0
Bogahakumbura2,0,0
Bogahamaditta,0,0
Bogahapelessa,0,0
Bogoda,0,0
Bohitiya,0,0
Bokagonna,0,0
Bokanoruwa,0,0
Boliyadda,0,0
Bopitiya,0,0
Boragas,0,0
Boralanda,0,0
Bubula,0,0
Buddama,0,0
Budugekanda,0,0
Buduruwagala,0,0
Bulathwatta,0,0
Bulupitiya,0,0
Buruthagolla,0,0
Busdulla,0,0
Creig Watta,0,0
Dahagoniya,0,0
Dahamgama,0,0
Damanwara,0,0
Dambagahawela,0,0
Dambagalla,0,0
Dambagolla,2,0
Dambakote,0,0
Dambana,1,0
Dambarawa,0,2
Dambavinna,1,0
Dambethenna,3,0
Dambewela,0,0
Dangamuwa,0,0
Daragala,0,0
Darahitawanagoda,0,0
Dayaraba Watta,0,0
Debaraara,0,0
Debeddekivula,0,0
Deegalla,0,0
Deekirigolla,0,0
Dehiattawela,0,0
Dehigama,0,0
Dehigolla,1,0
Dehivinna,0,0
Deliwa,0,0
Dematawelhinna,0,0
Demodara1,0,0
Demodara2,0,0
Detagamuwa,1,0
Dewathura,1,0
Dickwella,0,0
Diganathenna,0,0
Dikkapitiya,0,0
Dikkendayaya,0,0
Dikkumbura,0,0
Dikpitiya,0,0
Dikyaya,1,1
Dimbulamure,0,0
Dimbulana,0,0
Dimuthugama,0,0
Divithotawela,0,0
Diviyapola,0,0
Divulapelessa,0,0
Divulgasmulla,0,0
Divurumgama,1,0
Diyakombala,0,0
Diyathalawa,1,0
