area_name,gn_number,total,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_plus,district,gn_name_pop,name_norm,Name,gn_name_boundary,pop_name_count,bnd_name_count,match_status,final_boundary_name
Rotalawela,1M,1878,183,174,168,167,161,162,162,146,128,106,96,75,63,42,22,11,7,3,0,2,Badulla,Rotalawela,rotalawela,Rotalawela,Rotalawela,1,1,AUTO_MATCH_OK,
Divulapelessa,1C,2167,222,211,178,156,141,211,220,165,134,117,132,113,69,48,23,15,6,3,0,3,Badulla,Divulapelessa,divulapelessa,Divulapelessa,Divulapelessa,1,1,AUTO_MATCH_OK,
Aluyatawela,1I,1900,178,190,146,128,135,168,189,127,120,125,128,97,63,39,33,19,6,5,1,3,Badulla,Aluyatawela,aluyatawela,Aluyatawela,Aluyatawela,1,1,AUTO_MATCH_OK,
Theldeniyaya,1L,2014,197,208,174,154,166,177,138,134,131,148,133,84,78,46,26,9,7,3,1,0,Badulla,Theldeniyaya,theldeniyaya,Theldeniyaya,Theldeniyaya,1,1,AUTO_MATCH_OK,
Hebarawa,1A,1581,132,130,154,128,112,136,116,117,113,111,100,88,61,38,27,9,5,2,1,1,Badulla,Hebarawa,hebarawa,Hebarawa,Hebarawa,1,1,AUTO_MATCH_OK,
Ginnoruwa,1J,1364,141,102,98,95,84,120,139,99,84,69,72,97,67,44,30,18,3,0,1,1,Badulla,Ginnoruwa,ginnoruwa,Ginnoruwa,Ginnoruwa,1,1,AUTO_MATCH_OK,
Belaganwewa,1G,1879,197,172,104,151,154,206,169,100,99,104,135,107,88,42,19,15,10,2,1,4,Badulla,Belaganwewa,belaganwewa,Belaganwewa,Belaganwewa,1,1,AUTO_MATCH_OK,
Ulhitiya,1R,1832,166,180,130,142,158,185,181,116,100,101,129,87,68,49,15,14,7,2,0,2,Badulla,Ulhitiya,ulhitiya,Ulhitiya,Ulhitiya,1,1,AUTO_MATCH_OK,
Pahala Rathkinda,1D,2502,257,247,243,216,184,249,220,178,183,114,126,113,72,47,19,18,7,6,0,3,Badulla,Pahala Rathkinda,pahala rathkinda,Pahala Rathkinda,Pahala Rathkinda,1,1,AUTO_MATCH_OK,
Hobariyawa,1N,2395,212,204,208,214,172,222,204,169,149,136,139,104,107,76,37,20,9,6,3,4,Badulla,Hobariyawa,hobariyawa,Hobariyawa,Hobariyawa,1,1,AUTO_MATCH_OK,
Millattawa,1P,2494,281,212,204,177,179,242,239,169,167,161,138,105,85,54,43,16,11,9,1,1,Badulla,Millattawa,millattawa,Millattawa,Millattawa,1,1,AUTO_MATCH_OK,
Viranegama,1E,1652,159,163,121,112,94,142,156,117,93,89,117,107,87,51,26,10,3,3,2,0,Badulla,Viranegama,viranegama,Viranegama,Viranegama,1,1,AUTO_MATCH_OK,
Aluttarama,1H,1567,144,132,114,125,112,159,155,110,83,103,89,94,74,34,23,13,3,0,0,0,Badulla,Aluttarama,aluttarama,Aluttarama,Aluttarama,1,1,AUTO_MATCH_OK,
Girandurukotte,1F,4027,384,444,348,340,287,356,345,342,278,266,218,175,92,53,36,29,15,12,6,1,Badulla,Girandurukotte,girandurukotte,Girandurukotte,Girandurukotte,1,1,AUTO_MATCH_OK,
Bathalayaya,1,3196,330,280,259,259,238,243,320,258,244,184,149,139,121,79,42,23,17,10,1,0,Badulla,Bathalayaya,bathalayaya,Bathalayaya,Bathalayaya,1,1,AUTO_MATCH_OK,
Haddattawa,2A,2023,158,158,160,173,156,170,166,166,161,129,117,112,82,46,23,27,14,3,2,0,Badulla,Haddattawa,haddattawa,Haddattawa,Haddattawa,1,1,AUTO_MATCH_OK,
Meegahahena,1K,1682,160,150,135,130,112,143,135,119,131,100,121,84,66,43,25,17,7,1,1,2,Badulla,Meegahahena,meegahahena,Meegahahena,Meegahahena,1,1,AUTO_MATCH_OK,
Galporuyaya,1B,2479,242,189,225,246,222,225,198,170,161,149,122,87,84,53,33,25,28,11,3,6,Badulla,Galporuyaya,galporuyaya,Galporuyaya,Galporuyaya,1,1,AUTO_MATCH_OK,
Beligalla,7,2405,251,201,205,240,204,213,179,162,169,166,145,93,67,41,29,22,8,3,2,5,Badulla,Beligalla,beligalla,Beligalla,Beligalla,1,1,AUTO_MATCH_OK,
Dambana,7A,2179,226,208,209,185,192,195,193,161,133,136,115,83,53,33,29,14,8,3,1,2,Badulla,Dambana,dambana,Dambana,Dambana,1,1,AUTO_MATCH_OK,
Kukulapola,8,1242,126,110,105,111,108,128,118,93,66,68,64,52,34,29,18,5,4,2,1,0,Badulla,Kukulapola,kukulapola,Kukulapola,Kukulapola,1,1,AUTO_MATCH_OK,
Wewatta,8A,1881,211,176,154,179,167,176,151,146,118,123,93,70,52,27,26,8,1,2,1,0,Badulla,Wewatta,wewatta,Wewatta,Wewatta,1,1,AUTO_MATCH_OK,
Thalangamuwa,2C,2004,177,165,186,178,178,153,196,161,143,134,110,82,66,31,21,10,7,3,0,3,Badulla,Thalangamuwa,thalangamuwa,Thalangamuwa,Thalangamuwa,1,1,AUTO_MATCH_OK,
Sorabora,2B,1978,156,194,182,153,138,168,195,160,125,114,114,95,91,44,28,12,3,4,2,0,Badulla,Sorabora,sorabora,Sorabora,Sorabora,1,1,AUTO_MATCH_OK,
Wewgampaha,2,3350,283,299,271,274,273,287,314,256,256,223,187,161,90,84,42,26,13,8,0,3,Badulla,Wewgampaha,wewgampaha,Wewgampaha,Wewgampaha,1,1,AUTO_MATCH_OK,
Dehigolla,3B,2285,219,216,189,180,199,191,216,172,163,134,133,91,65,41,40,22,8,4,2,0,Badulla,Dehigolla,dehigolla,Dehigolla,Dehigolla,1,1,AUTO_MATCH_OK,
Elewela,3C,2329,231,218,174,191,190,187,217,186,170,157,121,96,74,50,30,20,8,6,1,2,Badulla,Elewela,elewela,Elewela,Elewela,1,1,AUTO_MATCH_OK,
Mahiyanganaya Town,3A,2700,196,231,176,198,219,286,271,226,234,179,161,128,71,51,33,21,13,5,0,1,Badulla,Mahiyanganaya Town,mahiyanganaya town,Mahiyanganaya Town,Mahiyanganaya Town,1,1,AUTO_MATCH_OK,
Poojanagaraya,3D,2248,210,179,167,188,180,245,200,171,165,161,128,96,67,47,13,20,7,2,1,1,Badulla,Poojanagaraya,poojanagaraya,Poojanagaraya,Poojanagaraya,1,1,AUTO_MATCH_OK,
Dambarawa,3,2113,196,194,165,171,181,177,167,149,164,155,122,108,67,42,13,22,13,6,1,0,Badulla,Dambarawa,dambarawa,Dambarawa,Dambarawa,1,1,AUTO_MATCH_OK,
Senanigama,4D,2202,200,197,167,197,158,151,173,148,179,158,140,133,65,46,32,28,22,6,2,0,Badulla,Senanigama,senanigama,Senanigama,Senanigama,1,1,AUTO_MATCH_OK,
Mapakadawewa,4A,2720,253,222,225,231,191,216,223,228,218,173,167,130,91,64,33,29,16,7,1,2,Badulla,Mapakadawewa,mapakadawewa,Mapakadawewa,Mapakadawewa,1,1,AUTO_MATCH_OK,
Pangaragammana,4,2076,242,250,205,200,153,156,193,127,111,111,106,93,52,31,24,11,5,3,1,2,Badulla,Pangaragammana,pangaragammana,Pangaragammana,Pangaragammana,1,1,AUTO_MATCH_OK,
Dambagolla,4C,1993,213,183,166,190,230,162,165,116,137,128,116,79,50,19,23,11,4,1,0,0,Badulla,Dambagolla,dambagolla,Dambagolla,Dambagolla,1,1,AUTO_MATCH_OK,
Medayaya,4B,1439,127,127,119,129,123,136,119,102,99,104,85,60,48,20,19,12,6,1,2,1,Badulla,Medayaya,medayaya,Medayaya,Medayaya,1,1,AUTO_MATCH_OK,
